Neighborhood	Sector #	Population (2010)	Total # Units (2000)	Total # Units (2010)	% Occupied Units (2010)	% Vacant Units (2010)	# Occupied Units (2010)	% Owner Occupied Units (2010)	% Renter Occupied Units (2010)	Est. Avg. Yrs. of Residence (2010)	% Living in Household (2010)	% Living in Group Quarters (2010)	% Units Built 00-09	% Units Built 90-99	% Units Built 80-89	% Units Built 60-79	% Units Built 40-59	% Units Built before 1939	Median Home Value (2000)	Med. Val. ('00 in '10 Dollars)	Median Home  Value (2010)	% Change Real Value 2000-2010	Median Sale Price (2010)	# Sales Counted (2010)	Foreclosures (2008)	Foreclosures (2010)	% of all Housing Units Foreclosed (2010)
Allegheny Center	3	933	675	1052	0.51520912547528496805426811988581903278827667236328125	0.484790874524714976434580648856353946030139923095703125	535	0.10093457943925200626100746603697189129889011383056640625	0.8990654205607480076167803417774848639965057373046875	0	1	0	0.046153846153845996813647190037954715080559253692626953125	0.0205128205128199993245718957268763915635645389556884765625	0.07435897435897399765369897295386181212961673736572265625	0.67307692307692301714183713556849397718906402587890625	0.1730769230769229893862615199395804665982723236083984375	0.0128205128205130004792611231323462561704218387603759765625	86500.0	109535.0	136300.0	0.244351120646	N/A	0	0	0	0
Allegheny West	3	462	390	355	0.7492957746478869918149712248123250901699066162109375	0.2507042253521130081850287751876749098300933837890625	203	0.1822660098522169980217455531601444818079471588134765625	0.81773399014778302973383006246876902878284454345703125	15	1	0	0	0.036474164133739002402467832553156767971813678741455078125	0	0.07902735562309999572949692492329631932079792022705078125	0.3100303951367779919934264398762024939060211181640625	0.5744680851063830306912905143690295517444610595703125	159700.0	202228.202312	123600.0	-0.388809282846	309940.0	7	0	1	0.0028169014084510001459660255562766906223259866237640380859375
Allentown	6	2500	1505	1291	0.80015491866770005469078341775457374751567840576171875	0.199845081332301000021089976144139654934406280517578125	953	0.59181532004197301422010468741063959896564483642578125	0.40818467995802698577989531258936040103435516357421875	5	0.92054176072234794592219486730755306780338287353515625	0.079458239277651998566653901434619911015033721923828125	0	0.0148963730569949999449352873170937527902424335479736328125	0.08160621761658000405947888111768406815826892852783203125	0.07124352331606199906222087747664772905409336090087890625	0.2033678756476680060671924366033636033535003662109375	0.62888601036269398125710949898348189890384674072265625	34300.0	43434.1098266	42200.0	-0.0284133790589	8500.0	70	27	11	0.008520526723469999674787089816163643263280391693115234375
Arlington	7	1869	880	886	0.865688487584650001593900014995597302913665771484375	0.134311512415349998406099985004402697086334228515625	754	0.6538461538461539657163257288630120456218719482421875	0.346153846153845978772523039879160933196544647216796875	11	1	0	0	0.01144640998959399989798324526191208860836923122406005859375	0.0156087408949009999459267561405795277096331119537353515625	0.00520291363163400029379079825275766779668629169464111328125	0.244536940686784998177927263895981013774871826171875	0.723204994797085998214924984495155513286590576171875	38800.0	49132.4624277	44200.0	-0.100391109747	15397.0	34	12	13	0.01467268623024800024146063748275992111302912235260009765625
Arlington Heights	7	244	557	148	0.91216216216216194911936554490239359438419342041015625	0.087837837837837995369483223839779384434223175048828125	139	0.187050359712229996578258806039229966700077056884765625	0.81294964028776994791058996270294301211833953857421875	2	1	0	0	0	0.07065217391304400018636755476109101437032222747802734375	0.353260869565217017207459093697252683341503143310546875	0.483695652173913026583562668747617863118648529052734375	0.092391304347825997655974106237408705055713653564453125	45000.0	56983.5260116	64400.0	0.130151194697	N/A	0	0	0	0
Banksville	5	4144	2203	2118	0.95420207743153895307841594330966472625732421875	0.045797922568460998349326729339736630208790302276611328125	2093	0.49880554228380302728140804902068339288234710693359375	0.50119445771619697271859195097931660711765289306640625	5	0.85241210139002399071017634923919104039669036865234375	0.147587898609975010089101488119922578334808349609375	0.0128205128205130004792611231323462561704218387603759765625	0.09770114942528700108237416088741156272590160369873046875	0.04597701149425299782524945158002083189785480499267578125	0.415561450044209024223818005339126102626323699951171875	0.381520778072502009248267995644710026681423187255859375	0.0464190981432359983660518309989129193127155303955078125	87200.0	110421.410405	110900.0	0.00433421012847	101430.5	40	7	5	0.002360717658168000158969146440313124912790954113006591796875
Bedford Dwellings	15	1202	1049	746	0.872654155495979022560959492693655192852020263671875	0.1273458445040210051946161229352583177387714385986328125	695	0.07625899280575500205348049576059565879404544830322265625	0.92374100719424501182430731205386109650135040283203125	2	1	0	0.037037037037037000286598953380234888754785060882568359375	0.0812425328554360060007155652783694677054882049560546875	0.07526881720430099453889027927289134822785854339599609375	0.11947431302269999331411298726379754953086376190185546875	0.301075268817203978155561117091565392911434173583984375	0.385902031063320993808929415536113083362579345703125	17200.0	21780.3699422	81100.0	2.7235363869	200.0	1	0	1	0.0013404825737269999812173448816565723973326385021209716796875
Beechview	5	7974	4048	3939	0.892612338156892004548126351437531411647796630859375	0.10738766184310699625115148592158220708370208740234375	3518	0.5872654917566799692707490976317785680294036865234375	0.412734508243319975218099671110394410789012908935546875	6	1	0	0.0048626306831999997759563569843521690927445888519287109375	0.0048626306831999997759563569843521690927445888519287109375	0.03622659858983699743273376725483103655278682708740234375	0.1504984196450279976264852166423224844038486480712890625	0.3766107464138099825134986531338654458522796630859375	0.42693897398492597350383448429056443274021148681640625	56150.0	71102.7774566	72400.0	0.0182443301057	36067.5	128	64	40	0.01015486164000999926015911256627077818848192691802978515625
Beltzhoover	6	1925	1298	1085	0.73456221198156701479575758639839477837085723876953125	0.26543778801843298520424241360160522162914276123046875	849	0.73498233215547703611747465402004308998584747314453125	0.265017667844523019393676577237783931195735931396484375	17	1	0	0.027615062761505999866518124008507584221661090850830078125	0	0.00836820083681999969671405636972849606536328792572021484375	0.092050209205020994129853306731092743575572967529296875	0.1983263598326359955503761511863558553159236907958984375	0.67364016736401699514402707791305147111415863037109375	34000.0	43054.2196532	36000.0	-0.163845024019	2744.0	39	12	11	0.0101382488479259992575354232258177944459021091461181640625
Bloomfield	12	8442	5432	5136	0.89018691588785003876438395309378392994403839111328125	0.10981308411215000286897947034958633594214916229248046875	4924	0.36677497969130801180881462641991674900054931640625	0.63322502030869198819118537358008325099945068359375	3.20000000000000017763568394002504646778106689453125	0.996087806998477987008300260640680789947509765625	0.00391219300152099991318976890397607348859310150146484375	0.01148004238784900050973636354001428117044270038604736328125	0.0060049452490289999262440545635399757884442806243896484375	0.01395266690215500073046772655516178929246962070465087890625	0.07135287884139900060898042966073262505233287811279296875	0.1676086188625930117890305837136111222207546234130859375	0.7296008477569759786973691007005982100963592529296875	60560.0	76687.1630058	92840.0	0.210632866846	99250.0	118	18	12	0.002336448598131000108091281930455807014368474483489990234375
